borrower_id,avg_monthly_income,income_std,income_cv,income_trend_3mo,income_trend_6mo,income_frequency_days,min_monthly_income,max_monthly_income,avg_monthly_spending,spending_std,discretionary_pct,expense_income_ratio,savings_rate,spending_trend_3mo,spending_trend_6mo,spending_volatility,avg_balance,min_balance,max_balance,overdraft_count_3mo,overdraft_count_6mo,overdraft_rate,avg_net_cashflow,transaction_count_per_month,days_since_last_transaction,transaction_count_total,months_of_history,income_transaction_count,expense_transaction_count,rent_to_income_ratio,utilities_to_income_ratio,groceries_to_income_ratio,transportation_to_income_ratio,essential_spending_ratio,income_to_spending_stability_ratio,avg_transaction_size,large_transaction_pct,weekend_spending_pct,financial_health_score,default_label,default_probability,overall_score
0033ac3b-83a6-4bab-ae79-ce8a90220a95,6506.968181818182,2188.8712725640953,0.3363888083363087,1732.8850000000002,453.4957142857144,14.458333333333334,5112.08,10465.49,3689.535,1325.6199051524402,0.25128460180844836,0.6185595442089006,0.3814404557910994,-795.7,-350.7085714285714,0.35929186337910884,11795.010501567396,-13.150000000000375,28156.15,0,0,0.003134796238244514,85.58692789968653,26.657381615598887,6,319,11.966666666666667,25,294,0.2765745532935671,0.048085793341823065,0.06911024754581278,0.024001123271346174,0.4177717174525491,0.9362550133270514,85.58692789968653,0.1724137931034483,0.3021071761075583,57.98011671397254,0,0.3253144936598148,73.37502011295551
007031f3-31c0-42bf-b3d2-e4b201dcdd08,2150.5150000000003,764.9343655830871,0.3556982237199401,-2.660000000000082,9.79857142857145,13.826086956521738,1710.1100000000001,3612.04,1856.168333333333,554.7857197125478,0.2582430113648098,1.0357528312985491,-0.0357528312985492,-501.7399999999998,-173.43114285714282,0.2988876115111046,654.2641590214075,-768.869999999999,1804.31,15,16,0.10703363914373089,-2.351284403669722,27.478991596638654,8,327,11.9,24,303,0.3295359483658564,0.05427676626296492,0.20591253722945435,0.07101275740927172,0.6607380092675473,1.1900734925800858,2.3512844036697222,1.0,0.22208608953390546,41.92118780623774,0,0.5443078278473401,41.866839530004555
3çç0092e968-f53c-4f09-8946-cd85f3203852,2779.799,967.9081540500973,0.34819357588447847,-55.034999999999854,4.70628571428567,13.826086956521738,2249.92,4661.64,1886.8153846153846,466.3545669269143,0.20894506820609413,0.8823875395307359,0.11761246046926413,-4.454999999999927,-187.9445714285714,0.2471649164668952,2787.311724137931,-1308.46,5714.870000000002,0,0,0.02821316614420063,10.248871473354228,26.509695290858726,6,319,12.033333333333333,24,295,0.2824218585588382,0.05400102669293715,0.1756522683834335,0.05464891526329781,0.5667240688985067,1.4087499992383217,10.24887147335423,0.9278996865203761,0.30591595117536263,49.31539281289831,0,0.45361185057438513,60.292814324773204
012379ca-0697-4145-9a26-fe16fc05ae8b,171.52800000000002,60.26879583259575,0.3513641844631532,0.0,0.0,27.636363636363637,142.94,285.88,841.8241666666667,116.35896749896094,0.08251327226885265,5.889353341728463,-4.889353341728463,-63.74499999999995,-26.16885714285717,0.13822241283438358,-3989.718979591836,-8386.609999999993,285.88,77,150,0.9727891156462585,-28.5258843537415,24.705882352941174,8,294,11.9,12,282,0.5528893241919686,0.09017769693577725,2.7186348584487656,1.1772130497644697,4.538914929340981,2.542020337064681,28.5258843537415,0.29591836734693877,0.2507679256060005,-148.8795074597208,1,0.7504274135349379,25.640416141052114
020144cb-f29a-4a5e-a3e5-0c0f07aeeddc,2662.533636363636,818.2729796745426,0.30732869192672496,-1187.9299999999998,75.59885714285717,11.0,1828.4699999999998,4999.24,1745.9350000000002,596.296254093093,0.20876684030810616,0.715354855098715,0.284645144901285,-217.29499999999996,-57.13028571428572,0.3415340514355305,3321.3472168284793,-1496.7300000000002,8979.97,0,0,0.10679611650485436,26.9794498381877,25.893854748603353,6,309,11.933333333333334,32,277,0.2451595148435172,0.05161146918502438,0.15794149591622744,0.06151830092116634,0.5162307808659353,0.8998478793987478,26.979449838187694,0.46601941747572817,0.2375503669953349,55.335264009539046,0,0.3176165362833359,67.50105554325694
02f735e5-0706-4b3c-a29a-e1c02092393a,1936.4879999999998,690.0788845696476,0.3563558795973162,59.42000000000007,6.485428571428585,13.826086956521738,1554.31,3280.17,1663.3683333333336,479.659556045807,0.27834785039593357,1.0307536116929203,-0.03075361169292043,-156.66000000000008,2.7048571428571124,0.28836641075436703,642.9156249999997,-749.58,1729.2499999999995,9,9,0.12828947368421054,-1.9590131578947383,25.47486033519553,7,304,11.933333333333334,24,280,0.2830319630175865,0.05450020862509865,0.23128984016425613,0.09194944662708986,0.6607714584340311,1.2357745781316505,1.959013157894736,1.0,0.31387215299076876,42.31185092927635,0,0.6596558871470036,34.651658010072445
0314c9dd-ff2e-433e-835b-4a41c508a5b1,1689.0208333333333,202.52450076060754,0.119906455126974,-209.2199999999999,-21.252000000000024,7.0,1502.3400000000001,2042.93,1573.0175000000002,341.8288652401427,0.27088647562196017,0.9313191814784206,0.06868081852157935,-87.92499999999984,7.151714285714336,0.21730773194840025,496.47939306358313,-966.3800000000001,1772.799999999998,0,0,0.1416184971098266,4.023236994219652,28.91364902506964,6,346,11.966666666666667,52,294,0.23170821358528731,0.051042393891924574,0.23574556264107654,0.07151332749497367,0.590009497613262,0.5517818167438506,4.023236994219652,1.0,0.28924768266511125,54.80388444808595,0,0.4479199948221408,56.04721954223426
03abf885-5f96-4a96-a43c-2c1ae44c8abb,2888.3360000000002,1019.7458242370444,0.35305650874311173,-31.090000000000146,-15.536857142857142,13.826086956521738,2317.47,4841.39,2321.1075,639.748753071718,0.2482963412939728,0.9643369054015877,0.03566309459841236,-483.49500000000023,-163.4434285714286,0.2756221989165595,1697.157264437692,-306.99999999999915,3535.280000000003,0,0,0.0182370820668693,3.130911854103345,27.569832402234635,7,329,11.933333333333334,24,305,0.33254579799580103,0.05470727782363271,0.1734119576115798,0.059346627262202176,0.6200116606932157,1.280943661762144,3.1309118541033425,1.0,0.2337235565349731,45.322384543311955,0,0.499648574815466,52.944566529137084
03da1b77-dbe5-40e6-b3b9-6a2936cb14d3,2045.876666666667,512.5020790260861,0.2505048751844373,-549.935,-78.52114285714288,10.375,1038.04,2742.16,1886.4338461538462,726.1517948236725,0.2513696987885975,0.9989051148407448,0.001094885159255176,-776.1450000000001,13.159999999999997,0.3849336123311116,-273.79947530864206,-1716.8400000000004,1960.79,51,130,0.654320987654321,0.0829629629629612,27.0,6,324,12.0,33,291,0.32160296401053834,0.05482572263235158,0.19253889530649457,0.07050807885128299,0.6394756608006675,0.6507742300481633,0.0829629629629633,1.0,0.31203361328089957,44.82997690421485,0,0.582138999844252,42.82582197162094
040e0117-e2f1-49a6-909c-695823e33f39,893.8641666666667,145.36897771209854,0.1626298302729798,-20.20999999999998,-18.294285714285728,15.08695652173913,662.55,1113.51,1206.8246153846155,261.5904022071969,0.1339522918377025,1.462630880717335,-0.46263088071733505,-146.51,-10.351142857142843,0.2167592530616621,-2795.34987616099,-5620.139999999999,-171.2299999999998,83,149,1.0,-15.363312693498454,26.916666666666668,7,323,12.0,24,299,0.2947203946908414,0.05305615972598373,0.5013336291774384,0.14425663108768394,0.9933668146819474,0.7502786062227113,15.363312693498454,0.5882352941176471,0.24988080608233176,32.28068480188396,0,0.6434758782982315,34.11695565118073
